translation,category,macrocategory,subcategory,1641,1644,1645,1646,1648,1656,1657,1659,1662,1663,1664,1665,1668,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
almonds,nuts,Flavoring/Other,,491,250.5,571.5,636.75,27,188,52,44,NA,588,414,NA,14,43,84,72,132,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
apples,Fruit,Fruits and Vegetables,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,NA,288,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic herring,Fish,Meat,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aurochs,Meat,Meat,game,NA,NA,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacon,Meat,Meat,pork,275.87,231.87,365.87,476.75,1,NA,NA,23.75,2.5,546,121.25,NA,19,7.75,2,13.5,13,NA,NA,0.25,NA,NA,44,NA,36,1,0.5,NA,NA,NA,1,NA
barley groats,Grain,Grain,,2,149.5,"1,431.5",452,NA,NA,NA,740,48,2842,453,NA,9,3,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,384,NA,NA,NA,NA,NA,NA,NA
beef,Meat,Meat,Beef,5.25,2,14.5,6,NA,NA,NA,3,NA,7,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
beer vinegar,Acid,Flavoring/Other,,8438,4352,5518,10848,7,NA,NA,0,NA,12053,1920,NA,63.5,NA,NA,11,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Big sheep cheese,Dairy,Dairy,,22,4,10,8,NA,NA,NA,0,NA,5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
black grouse,Meat,Meat,"bird, fowl, wild",228,74,122,287,NA,NA,NA,0,NA,853,69,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
boar bacon,Meat,Meat,"pork, wild",25.12,NA,2,0.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandenburg hard cheese,Dairy,Dairy,,17195,5635,21785,7493,NA,NA,NA,0,NA,15700,2640,NA,1800,NA,128,5160,3780,1560,1200,120,840,840,60,960,NA,960,120,960,960,960,NA,1080
brined/pickled castrated ram (wether),Meat,Meat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brined/pickled goose,Meat,Meat,preserved,288,NA,7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brined/pickled lamb,Meat,Meat,other,7,55.5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brined/pickled sheep,Meat,Meat,other,11,143,10.25,38,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
buckwheat groats,Grain,Grain,,261.5,455.5,753,"1,470.5",NA,NA,NA,0,NA,1061,144,NA,0,3,3,NA,NA,NA,NA,NA,NA,NA,155,NA,240,NA,NA,NA,NA,NA,NA,NA
burpot,Fish,Meat,,1798,NA,NA,240,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bustard,Meat,Meat,"bird, wild",NA,NA,NA,4,NA,NA,NA,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
