translation,category,macrocategory,subcategory,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
apples,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candied lemon peel,Fruit,Fruits and Vegetables,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8095238095238,,,,,,,,,,,,,,,
cherry sauce,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry sauce or marmalade,Fruit,Fruits and Vegetables,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
citrons,Fruit,Fruits and Vegetables,Citrus,,,442.857142857143,64.5161290322581,,,,,,,,,,,61.1111111111111,,,,,,,40.7894736842105,,,,,,,109.011627906977,150,66.6666666666667,533.333333333333,,,,,,,,,,,,,,
currants,Fruit,Fruits and Vegetables,preserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dates,Fruit,Fruits and Vegetables,,,,221.875,,,,,,,,,,,,,,,,,,,19.2982456140351,,,,,,,,,,,,,,,,,,,,,,,,
dried plums,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
figs,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemons,Fruit,Fruits and Vegetables,Citrus,,,170.454545454545,73.3333333333333,,,,,,,,,,,45,,,,,,,64.6341463414634,,,,,,,76.1904761904762,162.5,69.2307692307692,177.777777777778,,,,,,,,,,,,,,
Plums,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.666666666667,45.6521739130435,,,,,,,,,,,,,,,
Pomagranates,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserved barberries,Fruit,Fruits and Vegetables,,,,4.34782608695652,,,,,,,,,,,,,,,,,,,41.025641025641,,,,,,,,,,,,,,,,,,,,,,,,
raisins,Fruit,Fruits and Vegetables,preserved,,,,,,,,,,,,,,,,,,,,,,106.896551724138,,,,,,,,,,,,,,,,,,,,,,,,
spicy sauerkraut,Vegetable,Fruits and Vegetables,,,,60,62.962962962963,,,,,,,,,,,,,,,,,2050,9.75609756097561,,,,,,,75,,,,,,,,,,,,,,,,,
