translation,item,unit,macrocategory,category,use,subcategory,value,date,source
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1640,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1641,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1642,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1643,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1644,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1645,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1646,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1647,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1648,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1649,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1650,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1651,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1652,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1653,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1654,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1655,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,10,1656,- Rentspeicher Records!
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1657,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1658,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1659,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1660,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1661,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1662,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,45,1663,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,10,1664,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1665,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1666,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1667,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,0,1668,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1669,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,4,1670,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,2,1671,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1672,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1673,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1674,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1675,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1676,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1677,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1678,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,4,1679,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1680,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1681,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1682,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1683,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1684,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1685,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1686,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1687,
pearl barley groats,Perlengrütz,Pfund (lb),Grain,Grain,,,,1688,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1640,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1641,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1642,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1643,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1644,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1645,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1646,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1647,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1648,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1649,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1650,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1651,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1652,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1653,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1654,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1655,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1656,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1657,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1658,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1659,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1660,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1661,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1662,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,45,1663,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,45,1664,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1665,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1666,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1667,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,11,1668,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1669,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1670,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1671,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1672,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1673,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1674,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1675,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1676,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1677,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1678,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1679,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1680,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1681,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1682,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1683,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1684,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1685,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1686,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1687,
rice flour,Reißmehl,Pfund (lb),Grain,Grain,,,,1688,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1640,
rice,Reiß,Pfund (lb),Grain,Grain,,,520,1641,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1642,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1643,
rice,Reiß,Pfund (lb),Grain,Grain,,,547,1644,
rice,Reiß,Pfund (lb),Grain,Grain,,,837,1645,
rice,Reiß,Pfund (lb),Grain,Grain,,,666.5,1646,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1647,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1648,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1649,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1650,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1651,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1652,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1653,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1654,
rice,Reiß,Pfund (lb),Grain,Grain,,,,1655,
